pairs	order	P	T	prime	target
2167	x	Active	Active	a kid ate a chocolate.	the secretary hurries the writer.
2168	x	Passive	Passive	a flower was washed by an opponent.	the writer is hurried by the secretary.
2168	y	Active	Passive	an opponent washed a flower.	the writer is hurried by the secretary.
2169	y	Passive	Active	a flower was washed by an opponent.	the secretary hurries the writer.
2169	x	Active	Active	an opponent washed a flower.	the secretary hurries the writer.
2170	x	Passive	Passive	a champion was followed by an uncle.	the writer is hurried by the secretary.
2170	y	Active	Passive	an uncle followed a champion.	the writer is hurried by the secretary.
2171	y	Passive	Active	a champion was followed by an uncle.	the secretary hurries the writer.
2171	x	Active	Active	an uncle followed a champion.	the secretary hurries the writer.
2172	x	Passive	Passive	a salad was discovered by a student.	the writer is hurried by the secretary.
2172	y	Active	Passive	a student discovered a salad.	the writer is hurried by the secretary.
2173	y	Passive	Active	a salad was discovered by a student.	the secretary hurries the writer.
2173	x	Active	Active	a student discovered a salad.	the secretary hurries the writer.
2174	x	Passive	Passive	a champion was punched by a mayor.	the writer is hurried by the secretary.
2174	y	Active	Passive	a mayor punched a champion.	the writer is hurried by the secretary.
2175	y	Passive	Active	a champion was punched by a mayor.	the secretary hurries the writer.
2175	x	Active	Active	a mayor punched a champion.	the secretary hurries the writer.
2176	x	Passive	Passive	a candy was tasted by a physician.	the writer is hurried by the secretary.
2176	y	Active	Passive	a physician tasted a candy.	the writer is hurried by the secretary.
2177	y	Passive	Active	a candy was tasted by a physician.	the secretary hurries the writer.
2177	x	Active	Active	a physician tasted a candy.	the secretary hurries the writer.
2178	x	Passive	Passive	a champion was followed by a president.	the writer is hurried by the secretary.
2178	y	Active	Passive	a president followed a champion.	the writer is hurried by the secretary.
2179	y	Passive	Active	a champion was followed by a president.	the secretary hurries the writer.
2179	x	Active	Active	a president followed a champion.	the secretary hurries the writer.
2180	x	Passive	Passive	the lawyer is killed by the leader.	a soldier was understood by a kid.
2180	y	Active	Passive	the leader kills the lawyer.	a soldier was understood by a kid.
2181	y	Passive	Active	the lawyer is killed by the leader.	a kid understood a soldier.
2181	x	Active	Active	the leader kills the lawyer.	a kid understood a soldier.
2182	x	Passive	Passive	the television is used by the attorney.	a soldier was understood by a kid.
2182	y	Active	Passive	the attorney uses the television.	a soldier was understood by a kid.
2183	y	Passive	Active	the television is used by the attorney.	a kid understood a soldier.
2183	x	Active	Active	the attorney uses the television.	a kid understood a soldier.
2184	x	Passive	Passive	the candy is tasted by the teacher.	a soldier was understood by a kid.
2184	y	Active	Passive	the teacher tastes the candy.	a soldier was understood by a kid.
2185	y	Passive	Active	the candy is tasted by the teacher.	a kid understood a soldier.
2185	x	Active	Active	the teacher tastes the candy.	a kid understood a soldier.
2186	x	Passive	Passive	the juice is collected by the employee.	a soldier was understood by a kid.
2186	y	Active	Passive	the employee collects the juice.	a soldier was understood by a kid.
2187	y	Passive	Active	the juice is collected by the employee.	a kid understood a soldier.
2187	x	Active	Active	the employee collects the juice.	a kid understood a soldier.
2188	x	Passive	Passive	the beer is collected by the guy.	a soldier was understood by a kid.
2188	y	Active	Passive	the guy collects the beer.	a soldier was understood by a kid.
2189	y	Passive	Active	the beer is collected by the guy.	a kid understood a soldier.
2189	x	Active	Active	the guy collects the beer.	a kid understood a soldier.
2190	x	Passive	Passive	the opponent is beaten by the uncle.	a soldier was understood by a kid.
2190	y	Active	Passive	the uncle beats the opponent.	a soldier was understood by a kid.
2191	y	Passive	Active	the opponent is beaten by the uncle.	a kid understood a soldier.
2191	x	Active	Active	the uncle beats the opponent.	a kid understood a soldier.
2192	x	Passive	Passive	the coffee is raised by the candidate.	a soldier was understood by a kid.
2192	y	Active	Passive	the candidate raises the coffee.	a soldier was understood by a kid.
2193	y	Passive	Active	the coffee is raised by the candidate.	a kid understood a soldier.
2193	x	Active	Active	the candidate raises the coffee.	a kid understood a soldier.
2194	x	Passive	Passive	the professor is hurt by the employer.	a soldier was understood by a kid.
2194	y	Active	Passive	the employer hurts the professor.	a soldier was understood by a kid.
2195	y	Passive	Active	the professor is hurt by the employer.	a kid understood a soldier.
2195	x	Active	Active	the employer hurts the professor.	a kid understood a soldier.
2196	x	Passive	Passive	the tea is collected by the father.	a soldier was understood by a kid.
2196	y	Active	Passive	the father collects the tea.	a soldier was understood by a kid.
2197	y	Passive	Active	the tea is collected by the father.	a kid understood a soldier.
2197	x	Active	Active	the father collects the tea.	a kid understood a soldier.
2198	x	Passive	Passive	the telephone is broken by the princess.	a soldier was understood by a kid.
2198	y	Active	Passive	the princess breaks the telephone.	a soldier was understood by a kid.
2199	y	Passive	Active	the telephone is broken by the princess.	a kid understood a soldier.
2199	x	Active	Active	the princess breaks the telephone.	a kid understood a soldier.
2200	x	Passive	Passive	a cheese was tasted by a colonel.	the king is surprised by the teacher.
2200	y	Active	Passive	a colonel tasted a cheese.	the king is surprised by the teacher.
2201	y	Passive	Active	a cheese was tasted by a colonel.	the teacher surprises the king.
2201	x	Active	Active	a colonel tasted a cheese.	the teacher surprises the king.
2202	x	Passive	Passive	a cigarette was collected by an uncle.	the king is surprised by the teacher.
2202	y	Active	Passive	an uncle collected a cigarette.	the king is surprised by the teacher.
2203	y	Passive	Active	a cigarette was collected by an uncle.	the teacher surprises the king.
2203	x	Active	Active	an uncle collected a cigarette.	the teacher surprises the king.
2204	x	Passive	Passive	a candy was selected by a reader.	the king is surprised by the teacher.
2204	y	Active	Passive	a reader selected a candy.	the king is surprised by the teacher.
2205	y	Passive	Active	a candy was selected by a reader.	the teacher surprises the king.
2205	x	Active	Active	a reader selected a candy.	the teacher surprises the king.
2206	x	Passive	Passive	a sheriff was carried by an employer.	the king is surprised by the teacher.
2206	y	Active	Passive	an employer carried a sheriff.	the king is surprised by the teacher.
2207	y	Passive	Active	a sheriff was carried by an employer.	the teacher surprises the king.
2207	x	Active	Active	an employer carried a sheriff.	the teacher surprises the king.
2208	x	Passive	Passive	an opponent was protected by a guest.	the king is surprised by the teacher.
2208	y	Active	Passive	a guest protected an opponent.	the king is surprised by the teacher.
2209	y	Passive	Active	an opponent was protected by a guest.	the teacher surprises the king.
2209	x	Active	Active	a guest protected an opponent.	the teacher surprises the king.
2210	x	Passive	Passive	a father was hurried by a child.	the king is surprised by the teacher.
2210	y	Active	Passive	a child hurried a father.	the king is surprised by the teacher.
2211	y	Passive	Active	a father was hurried by a child.	the teacher surprises the king.
2211	x	Active	Active	a child hurried a father.	the teacher surprises the king.
2212	x	Passive	Passive	a salad was tasted by a woman.	the king is surprised by the teacher.
2212	y	Active	Passive	a woman tasted a salad.	the king is surprised by the teacher.
2213	y	Passive	Active	a salad was tasted by a woman.	the teacher surprises the king.
2213	x	Active	Active	a woman tasted a salad.	the teacher surprises the king.
2214	x	Passive	Passive	a hat was smelled by a hero.	the king is surprised by the teacher.
2214	y	Active	Passive	a hero smelled a hat.	the king is surprised by the teacher.
2215	y	Passive	Active	a hat was smelled by a hero.	the teacher surprises the king.
2215	x	Active	Active	a hero smelled a hat.	the teacher surprises the king.
2216	x	Passive	Passive	a coffee was selected by a candidate.	the king is surprised by the teacher.
2216	y	Active	Passive	a candidate selected a coffee.	the king is surprised by the teacher.
2217	y	Passive	Active	a coffee was selected by a candidate.	the teacher surprises the king.
2217	x	Active	Active	a candidate selected a coffee.	the teacher surprises the king.
2218	x	Passive	Passive	an employee was protected by a business.	the king is surprised by the teacher.
2218	y	Active	Passive	a business protected an employee.	the king is surprised by the teacher.
2219	y	Passive	Active	an employee was protected by a business.	the teacher surprises the king.
2219	x	Active	Active	a business protected an employee.	the teacher surprises the king.
2220	x	Passive	Passive	a mayor is beaten by a colonel.	the tea was destroyed by the reader.
2220	y	Active	Passive	a colonel beats a mayor.	the tea was destroyed by the reader.
2221	y	Passive	Active	a mayor is beaten by a colonel.	the reader destroyed the tea.
2221	x	Active	Active	a colonel beats a mayor.	the reader destroyed the tea.
2222	x	Passive	Passive	a button is prepared by a king.	the tea was destroyed by the reader.
2222	y	Active	Passive	a king prepares a button.	the tea was destroyed by the reader.
2223	y	Passive	Active	a button is prepared by a king.	the reader destroyed the tea.
2223	x	Active	Active	a king prepares a button.	the reader destroyed the tea.
2224	x	Passive	Passive	a brother is described by a kid.	the tea was destroyed by the reader.
2224	y	Active	Passive	a kid describes a brother.	the tea was destroyed by the reader.
2225	y	Passive	Active	a brother is described by a kid.	the reader destroyed the tea.
2225	x	Active	Active	a kid describes a brother.	the reader destroyed the tea.
2226	x	Passive	Passive	a camera is discovered by a partner.	the tea was destroyed by the reader.
2226	y	Active	Passive	a partner discovers a camera.	the tea was destroyed by the reader.
2227	y	Passive	Active	a camera is discovered by a partner.	the reader destroyed the tea.
2227	x	Active	Active	a partner discovers a camera.	the reader destroyed the tea.
2228	x	Passive	Passive	a business is led by a wife.	the tea was destroyed by the reader.
2228	y	Active	Passive	a wife leads a business.	the tea was destroyed by the reader.
2229	y	Passive	Active	a business is led by a wife.	the reader destroyed the tea.
2229	x	Active	Active	a wife leads a business.	the reader destroyed the tea.
